,a,network,image,probability
0,0.001,mnist-net,0,0.012806903
1,0.003,mnist-net,0,0.016431574
2,0.0050000004,mnist-net,0,0.019386066
3,0.007,mnist-net,0,0.021907989
4,0.009000001,mnist-net,0,0.023915228
5,0.011000001,mnist-net,0,0.026199374
6,0.013,mnist-net,0,0.028889842
7,0.015000001,mnist-net,0,0.030778933
8,0.017,mnist-net,0,0.03289146
9,0.019000001,mnist-net,0,0.034895882
10,0.021000002,mnist-net,0,0.037678685
11,0.023000002,mnist-net,0,0.039055496
12,0.025,mnist-net,0,0.042713925
13,0.027,mnist-net,0,0.045019742
14,0.029000001,mnist-net,0,0.046699345
15,0.031000001,mnist-net,0,0.049823795
16,0.033,mnist-net,0,0.051260296
17,0.035,mnist-net,0,0.05627437
18,0.037,mnist-net,0,0.059129674
19,0.039,mnist-net,0,0.06450201
20,0.041,mnist-net,0,0.06881163
21,0.043,mnist-net,0,0.05959974
22,0.045,mnist-net,0,0.02535411
23,0.047000002,mnist-net,0,0.016035615
24,0.049,mnist-net,0,0.012308301
25,0.051,mnist-net,0,0.009921513
26,0.053,mnist-net,0,0.008337546
27,0.055,mnist-net,0,0.007062173
28,0.057,mnist-net,0,0.00616573
29,0.059,mnist-net,0,0.0053448672
30,0.061,mnist-net,0,0.004691437
31,0.063,mnist-net,0,0.0040867496
32,0.065000005,mnist-net,0,0.0036286858
33,0.067,mnist-net,0,0.0032167605
34,0.069000006,mnist-net,0,0.0028758626
35,0.071,mnist-net,0,0.0025441675
36,0.07300001,mnist-net,0,0.0022799156
37,0.075,mnist-net,0,0.0020151527
38,0.07700001,mnist-net,0,0.0017951648
39,0.079,mnist-net,0,0.0015867099
40,0.08100001,mnist-net,0,0.0014193107
41,0.083000004,mnist-net,0,0.0012493033
42,0.08500001,mnist-net,0,0.0011222058
43,0.087000005,mnist-net,0,0.0010074319
44,0.08900001,mnist-net,0,0.00088833726
45,0.091000006,mnist-net,0,0.00080444396
46,0.09300001,mnist-net,0,0.0007085717
47,0.095000006,mnist-net,0,0.00061926944
48,0.097,mnist-net,0,0.0005583775
49,0.09900001,mnist-net,0,0.0004826391
50,0.101,mnist-net,0,0.0004210543
51,0.10300001,mnist-net,0,0.00037421202
52,0.105000004,mnist-net,0,0.0003308128
53,0.10700001,mnist-net,0,0.0002880451
54,0.109000005,mnist-net,0,0.0002578964
55,0.11100001,mnist-net,0,0.00021590505
56,0.113000005,mnist-net,0,0.00019358512
57,0.11500001,mnist-net,0,0.00016568373
58,0.117000006,mnist-net,0,0.00014696523
59,0.11900001,mnist-net,0,0.00012666408
60,0.12100001,mnist-net,0,0.00010785082
61,0.12300001,mnist-net,0,9.269039e-05
62,0.125,mnist-net,0,8.049801e-05
63,0.127,mnist-net,0,6.7728346e-05
64,0.12900001,mnist-net,0,5.7887624e-05
65,0.13100001,mnist-net,0,4.962103e-05
66,0.133,mnist-net,0,4.1657837e-05
67,0.135,mnist-net,0,3.4903558e-05
68,0.13700001,mnist-net,0,2.9362092e-05
69,0.13900001,mnist-net,0,2.507162e-05
70,0.141,mnist-net,0,2.0044656e-05
71,0.143,mnist-net,0,1.6703187e-05
72,0.14500001,mnist-net,0,1.4298009e-05
73,0.14700001,mnist-net,0,1.1743066e-05
74,0.149,mnist-net,0,9.792176e-06
75,0.15100001,mnist-net,0,7.4816808e-06
76,0.15300001,mnist-net,0,6.349404e-06
77,0.15500002,mnist-net,0,5.0878793e-06
78,0.157,mnist-net,0,4.0118375e-06
79,0.15900001,mnist-net,0,3.1402767e-06
80,0.16100001,mnist-net,0,2.5197614e-06
81,0.163,mnist-net,0,2.0141579e-06
82,0.165,mnist-net,0,1.5640965e-06
83,0.16700001,mnist-net,0,1.1722223e-06
84,0.16900001,mnist-net,0,9.235767e-07
85,0.171,mnist-net,0,7.1535976e-07
86,0.17300001,mnist-net,0,5.361875e-07
87,0.17500001,mnist-net,0,4.1109504e-07
88,0.17700002,mnist-net,0,3.1921036e-07
89,0.179,mnist-net,0,2.1969896e-07
90,0.18100001,mnist-net,0,1.6897069e-07
91,0.18300001,mnist-net,0,1.258971e-07
92,0.18500002,mnist-net,0,8.1767e-08
93,0.187,mnist-net,0,6.4148544e-08
94,0.18900001,mnist-net,0,4.57954e-08
95,0.19100001,mnist-net,0,3.3228776e-08
96,0.193,mnist-net,0,2.2600327e-08
97,0.19500001,mnist-net,0,1.4609747e-08
98,0.19700001,mnist-net,0,1.0005718e-08
99,0.19900002,mnist-net,0,6.808086e-09
100,0.20099998,mnist-net,0,4.736972e-09
101,0.20299998,mnist-net,0,2.903757e-09
102,0.20499998,mnist-net,0,2.0921045e-09
103,0.20699999,mnist-net,0,1.7072692e-09
104,0.20899998,mnist-net,0,3.6384426e-10
105,0.21099998,mnist-net,0,-0.0
106,0.21299998,mnist-net,0,-0.0
107,0.21499997,mnist-net,0,-0.0
108,0.21699998,mnist-net,0,-0.0
109,0.21899998,mnist-net,0,-0.0
110,0.22099999,mnist-net,0,-0.0
111,0.22299998,mnist-net,0,-0.0
112,0.22499998,mnist-net,0,-0.0
113,0.22699998,mnist-net,0,-0.0
114,0.22899999,mnist-net,0,-0.0
115,0.23099998,mnist-net,0,-0.0
116,0.23299998,mnist-net,0,-0.0
117,0.23499998,mnist-net,0,-0.0
118,0.23699999,mnist-net,0,-0.0
119,0.23899998,mnist-net,0,-0.0
120,0.24099998,mnist-net,0,-0.0
121,0.24299999,mnist-net,0,-0.0
122,0.24499997,mnist-net,0,-0.0
123,0.24699998,mnist-net,0,-0.0
124,0.24899998,mnist-net,0,-0.0
125,0.251,mnist-net,0,-0.0
126,0.25299996,mnist-net,0,-0.0
127,0.255,mnist-net,0,-0.0
128,0.25699997,mnist-net,0,-0.0
129,0.259,mnist-net,0,-0.0
130,0.26099998,mnist-net,0,-0.0
131,0.26299998,mnist-net,0,-0.0
132,0.265,mnist-net,0,-0.0
133,0.267,mnist-net,0,-0.0
134,0.269,mnist-net,0,-0.0
135,0.27099997,mnist-net,0,-0.0
136,0.273,mnist-net,0,-0.0
137,0.27499998,mnist-net,0,-0.0
138,0.27699998,mnist-net,0,-0.0
139,0.27899998,mnist-net,0,-0.0
140,0.281,mnist-net,0,-0.0
141,0.283,mnist-net,0,-0.0
142,0.28499997,mnist-net,0,-0.0
143,0.287,mnist-net,0,-0.0
144,0.28899997,mnist-net,0,-0.0
145,0.29099998,mnist-net,0,-0.0
146,0.29299998,mnist-net,0,-0.0
147,0.295,mnist-net,0,-0.0
148,0.297,mnist-net,0,-0.0
149,0.299,mnist-net,0,-0.0
150,0.301,mnist-net,0,-0.0
151,0.30299997,mnist-net,0,-0.0
152,0.30499998,mnist-net,0,-0.0
153,0.30699998,mnist-net,0,-0.0
154,0.309,mnist-net,0,-0.0
155,0.311,mnist-net,0,-0.0
156,0.313,mnist-net,0,-0.0
157,0.315,mnist-net,0,-0.0
158,0.31699997,mnist-net,0,-0.0
159,0.31899998,mnist-net,0,-0.0
160,0.32099998,mnist-net,0,-0.0
161,0.32299998,mnist-net,0,-0.0
162,0.325,mnist-net,0,-0.0
163,0.327,mnist-net,0,-0.0
164,0.329,mnist-net,0,-0.0
165,0.33099997,mnist-net,0,-0.0
166,0.333,mnist-net,0,-0.0
167,0.33499998,mnist-net,0,-0.0
168,0.33699998,mnist-net,0,-0.0
169,0.339,mnist-net,0,-0.0
170,0.341,mnist-net,0,-0.0
171,0.343,mnist-net,0,-0.0
172,0.345,mnist-net,0,-0.0
173,0.347,mnist-net,0,-0.0
174,0.34899998,mnist-net,0,-0.0
175,0.35099998,mnist-net,0,-0.0
176,0.353,mnist-net,0,-0.0
177,0.355,mnist-net,0,-0.0
178,0.357,mnist-net,0,-0.0
179,0.359,mnist-net,0,-0.0
180,0.361,mnist-net,0,-0.0
181,0.36299998,mnist-net,0,-0.0
182,0.36499998,mnist-net,0,-0.0
183,0.36699998,mnist-net,0,-0.0
184,0.369,mnist-net,0,-0.0
185,0.371,mnist-net,0,-0.0
186,0.373,mnist-net,0,-0.0
187,0.375,mnist-net,0,-0.0
188,0.37699997,mnist-net,0,-0.0
189,0.37899998,mnist-net,0,-0.0
190,0.38099998,mnist-net,0,-0.0
191,0.383,mnist-net,0,-0.0
192,0.385,mnist-net,0,-0.0
193,0.387,mnist-net,0,-0.0
194,0.389,mnist-net,0,-0.0
195,0.391,mnist-net,0,-0.0
196,0.39299998,mnist-net,0,-0.0
197,0.39499998,mnist-net,0,-0.0
198,0.39699998,mnist-net,0,-0.0
199,0.399,mnist-net,0,-0.0
0,0.001,mnist-net,1,0.005602946
1,0.003,mnist-net,1,0.009781732
2,0.0050000004,mnist-net,1,0.01379302
3,0.007,mnist-net,1,0.017782858
4,0.009000001,mnist-net,1,0.02210642
5,0.011000001,mnist-net,1,0.027322335
6,0.013,mnist-net,1,0.03292507
7,0.015000001,mnist-net,1,0.040001545
8,0.017,mnist-net,1,0.046676084
9,0.019000001,mnist-net,1,0.05372627
10,0.021000002,mnist-net,1,0.062946625
11,0.023000002,mnist-net,1,0.07331718
12,0.025,mnist-net,1,0.084373936
13,0.027,mnist-net,1,0.09619434
14,0.029000001,mnist-net,1,0.10422653
15,0.031000001,mnist-net,1,0.10312724
16,0.033,mnist-net,1,0.086581424
17,0.035,mnist-net,1,0.059381805
18,0.037,mnist-net,1,0.028423693
19,0.039,mnist-net,1,0.012280047
20,0.041,mnist-net,1,0.005984864
21,0.043,mnist-net,1,0.0035493004
22,0.045,mnist-net,1,0.0023840629
23,0.047000002,mnist-net,1,0.0016702934
24,0.049,mnist-net,1,0.0012325484
25,0.051,mnist-net,1,0.0009321154
26,0.053,mnist-net,1,0.0007297552
27,0.055,mnist-net,1,0.0005717492
28,0.057,mnist-net,1,0.0004546531
29,0.059,mnist-net,1,0.00037006484
30,0.061,mnist-net,1,0.00029264032
31,0.063,mnist-net,1,0.00023835106
32,0.065000005,mnist-net,1,0.00019180166
33,0.067,mnist-net,1,0.00015564404
34,0.069000006,mnist-net,1,0.00012752315
35,0.071,mnist-net,1,0.00010286039
36,0.07300001,mnist-net,1,8.430087e-05
37,0.075,mnist-net,1,6.790588e-05
38,0.07700001,mnist-net,1,5.5825516e-05
39,0.079,mnist-net,1,4.616085e-05
40,0.08100001,mnist-net,1,3.776252e-05
41,0.083000004,mnist-net,1,3.0131941e-05
42,0.08500001,mnist-net,1,2.4488705e-05
43,0.087000005,mnist-net,1,1.9591882e-05
44,0.08900001,mnist-net,1,1.562385e-05
45,0.091000006,mnist-net,1,1.2654041e-05
46,0.09300001,mnist-net,1,9.87691e-06
47,0.095000006,mnist-net,1,8.141432e-06
48,0.097,mnist-net,1,6.284967e-06
49,0.09900001,mnist-net,1,5.0102526e-06
50,0.101,mnist-net,1,3.8968274e-06
51,0.10300001,mnist-net,1,3.069569e-06
52,0.105000004,mnist-net,1,2.3323967e-06
53,0.10700001,mnist-net,1,1.8316049e-06
54,0.109000005,mnist-net,1,1.3952776e-06
55,0.11100001,mnist-net,1,1.0863812e-06
56,0.113000005,mnist-net,1,8.271765e-07
57,0.11500001,mnist-net,1,6.3447254e-07
58,0.117000006,mnist-net,1,4.9153e-07
59,0.11900001,mnist-net,1,3.5994486e-07
60,0.12100001,mnist-net,1,2.6852413e-07
61,0.12300001,mnist-net,1,1.9158253e-07
62,0.125,mnist-net,1,1.4936286e-07
63,0.127,mnist-net,1,9.861278e-08
64,0.12900001,mnist-net,1,7.847933e-08
65,0.13100001,mnist-net,1,5.34313e-08
66,0.133,mnist-net,1,3.8128096e-08
67,0.135,mnist-net,1,2.7957098e-08
68,0.13700001,mnist-net,1,1.9091614e-08
69,0.13900001,mnist-net,1,1.3344454e-08
70,0.141,mnist-net,1,8.9942604e-09
71,0.143,mnist-net,1,5.912396e-09
72,0.14500001,mnist-net,1,4.1112824e-09
73,0.14700001,mnist-net,1,2.6567266e-09
74,0.149,mnist-net,1,1.8532964e-09
75,0.15100001,mnist-net,1,1.1963517e-09
76,0.15300001,mnist-net,1,7.2193546e-10
77,0.15500002,mnist-net,1,4.964323e-10
78,0.157,mnist-net,1,3.1485428e-10
79,0.15900001,mnist-net,1,1.919791e-10
80,0.16100001,mnist-net,1,1.1264964e-10
81,0.163,mnist-net,1,7.167231e-11
82,0.165,mnist-net,1,4.3296696e-11
83,0.16700001,mnist-net,1,2.3327434e-11
84,0.16900001,mnist-net,1,1.3768492e-11
85,0.171,mnist-net,1,8.013157e-12
86,0.17300001,mnist-net,1,4.2671036e-12
87,0.17500001,mnist-net,1,2.572503e-12
88,0.17700002,mnist-net,1,1.3724395e-12
89,0.179,mnist-net,1,6.962064e-13
90,0.18100001,mnist-net,1,3.9756647e-13
91,0.18300001,mnist-net,1,1.9877364e-13
92,0.18500002,mnist-net,1,8.806257e-14
93,0.187,mnist-net,1,4.2525862e-14
94,0.18900001,mnist-net,1,2.2274537e-14
95,0.19100001,mnist-net,1,1.9206155e-14
96,0.193,mnist-net,1,7.527125e-15
97,0.19500001,mnist-net,1,0.0
98,0.19700001,mnist-net,1,0.0
99,0.19900002,mnist-net,1,0.0
100,0.20099998,mnist-net,1,0.0
101,0.20299998,mnist-net,1,0.0
102,0.20499998,mnist-net,1,0.0
103,0.20699999,mnist-net,1,0.0
104,0.20899998,mnist-net,1,0.0
105,0.21099998,mnist-net,1,0.0
106,0.21299998,mnist-net,1,0.0
107,0.21499997,mnist-net,1,0.0
108,0.21699998,mnist-net,1,0.0
109,0.21899998,mnist-net,1,0.0
110,0.22099999,mnist-net,1,0.0
111,0.22299998,mnist-net,1,0.0
112,0.22499998,mnist-net,1,0.0
113,0.22699998,mnist-net,1,0.0
114,0.22899999,mnist-net,1,0.0
115,0.23099998,mnist-net,1,0.0
116,0.23299998,mnist-net,1,0.0
117,0.23499998,mnist-net,1,0.0
118,0.23699999,mnist-net,1,0.0
119,0.23899998,mnist-net,1,0.0
120,0.24099998,mnist-net,1,0.0
121,0.24299999,mnist-net,1,0.0
122,0.24499997,mnist-net,1,0.0
123,0.24699998,mnist-net,1,0.0
124,0.24899998,mnist-net,1,0.0
125,0.251,mnist-net,1,0.0
126,0.25299996,mnist-net,1,0.0
127,0.255,mnist-net,1,0.0
128,0.25699997,mnist-net,1,0.0
129,0.259,mnist-net,1,0.0
130,0.26099998,mnist-net,1,0.0
131,0.26299998,mnist-net,1,0.0
132,0.265,mnist-net,1,0.0
133,0.267,mnist-net,1,0.0
134,0.269,mnist-net,1,0.0
135,0.27099997,mnist-net,1,0.0
136,0.273,mnist-net,1,0.0
137,0.27499998,mnist-net,1,0.0
138,0.27699998,mnist-net,1,0.0
139,0.27899998,mnist-net,1,0.0
140,0.281,mnist-net,1,0.0
141,0.283,mnist-net,1,0.0
142,0.28499997,mnist-net,1,0.0
143,0.287,mnist-net,1,0.0
144,0.28899997,mnist-net,1,0.0
145,0.29099998,mnist-net,1,0.0
146,0.29299998,mnist-net,1,0.0
147,0.295,mnist-net,1,0.0
148,0.297,mnist-net,1,0.0
149,0.299,mnist-net,1,0.0
150,0.301,mnist-net,1,0.0
151,0.30299997,mnist-net,1,0.0
152,0.30499998,mnist-net,1,0.0
153,0.30699998,mnist-net,1,0.0
154,0.309,mnist-net,1,0.0
155,0.311,mnist-net,1,0.0
156,0.313,mnist-net,1,0.0
157,0.315,mnist-net,1,0.0
158,0.31699997,mnist-net,1,0.0
159,0.31899998,mnist-net,1,0.0
160,0.32099998,mnist-net,1,0.0
161,0.32299998,mnist-net,1,0.0
162,0.325,mnist-net,1,0.0
163,0.327,mnist-net,1,0.0
164,0.329,mnist-net,1,0.0
165,0.33099997,mnist-net,1,0.0
166,0.333,mnist-net,1,0.0
167,0.33499998,mnist-net,1,0.0
168,0.33699998,mnist-net,1,0.0
169,0.339,mnist-net,1,0.0
170,0.341,mnist-net,1,0.0
171,0.343,mnist-net,1,0.0
172,0.345,mnist-net,1,0.0
