,network,metric_1,metric_2,metric_3,metric_4,run
0,mnist-net,1,0.007418397814035416,0.00623692013323307,0.012522470206022263,0
1,mnist-net,1,0.21692606806755066,0.0020474381744861603,0.01316594798117876,1
2,mnist-net,1,0.7733334302902222,0.0,0.007395182736217976,2
3,mnist-net,1,0.626183032989502,0.0,0.011620994657278061,3
4,mnist-net,1,0.9731800556182861,0.0,0.008635292761027813,4
5,mnist-net,1,1.0,0.0,0.006295584142208099,5
6,mnist-net,1,1.0,0.0,0.0031532468274235725,6
7,mnist-net,1,1.0,0.0,0.002757519483566284,7
8,mnist-net,1,0.8235294222831726,0.0,0.00864630751311779,8
9,mnist-net,1,0.6413540244102478,0.0,0.013614200986921787,9
10,mnist-net_256x2,1,0.885350227355957,0.0,0.006519702263176441,0
11,mnist-net_256x2,1,1.0,0.0,0.002398810349404812,1
12,mnist-net_256x2,1,0.9049359560012817,0.0,0.011805812828242779,2
13,mnist-net_256x2,1,0.7313432097434998,0.0,0.004361124709248543,3
14,mnist-net_256x2,1,0.7129145264625549,0.0,0.011254164390265942,4
15,mnist-net_256x2,1,0.9575071334838867,0.0,0.00927556399255991,5
16,mnist-net_256x2,1,0.6449999809265137,0.0,0.009948630817234516,6
17,mnist-net_256x2,1,1.0,0.0,0.0066215405240654945,7
18,mnist-net_256x2,1,0.0016708438051864505,0.005984421819448471,0.011445336043834686,8
19,mnist-net_256x2,1,0.8996268510818481,0.0,0.011213057674467564,9
20,mnist-net_256x4,1,1.0,0.0,0.012349050492048264,0
21,mnist-net_256x4,1,0.9999999403953552,0.0,0.005688026547431946,1
22,mnist-net_256x4,1,0.9741219878196716,0.0,0.017674334347248077,2
23,mnist-net_256x4,1,0.895833432674408,0.0,0.005791386589407921,3
24,mnist-net_256x4,0,0.0,0.005896128714084625,0.0022868290543556213,4
25,mnist-net_256x4,1,0.9999999403953552,0.0,0.005978267639875412,5
26,mnist-net_256x4,1,0.6884057521820068,0.0,0.014401014894247055,6
27,mnist-net_256x4,1,1.0,0.0,0.010562745854258537,7
28,mnist-net_256x4,1,1.0,0.0,0.0008570235222578049,8
29,mnist-net_256x4,1,0.8011583089828491,0.0,0.017569977790117264,9
30,mnist-net_256x6,1,1.0000001192092896,0.0,0.018605459481477737,0
31,mnist-net_256x6,1,0.5474452376365662,0.0,0.015659090131521225,1
32,mnist-net_256x6,1,1.0,0.0,0.0016722679138183594,2
33,mnist-net_256x6,1,0.6483384370803833,0.0,0.04101483151316643,3
34,mnist-net_256x6,1,1.0,0.0,0.016103142872452736,4
35,mnist-net_256x6,0,0.0,0.006167463958263397,0.007444810122251511,5
36,mnist-net_256x6,1,1.0,0.0,0.0075049251317977905,6
37,mnist-net_256x6,1,0.9814814925193787,0.0,0.01891482062637806,7
38,mnist-net_256x6,1,0.09462916851043701,0.005774751305580139,0.020551268011331558,8
39,mnist-net_256x6,1,0.02821316570043564,0.008315600454807281,0.017973242327570915,9
40,mnist_nn,1,0.7254902124404907,0.0,0.004373261705040932,0
41,mnist_nn,1,0.9999999403953552,0.0,0.004669678397476673,1
42,mnist_nn,1,0.9999998807907104,0.0,0.004805266857147217,2
43,mnist_nn,1,0.5993450284004211,0.0,0.007890766486525536,3
44,mnist_nn,1,0.9088050127029419,0.0,0.004936017096042633,4
45,mnist_nn,1,0.2084367275238037,0.0013005826622247696,0.00865472387522459,5
46,mnist_nn,1,0.40528634190559387,0.00034460797905921936,0.006869589909911156,6
47,mnist_nn,1,0.572519063949585,0.0,0.006733265705406666,7
48,mnist_nn,1,0.9999998807907104,0.0,0.00409553200006485,8
49,mnist_nn,1,0.4750000536441803,3.567757084965706e-05,0.0014659874141216278,9
50,mnist_relu_3_100,1,1.0000001192092896,0.0,0.012843393720686436,0
51,mnist_relu_3_100,1,1.0,0.0,0.006350195966660976,1
52,mnist_relu_3_100,1,1.0,0.0,0.005530700087547302,2
53,mnist_relu_3_100,1,0.0904255285859108,0.004766399040818214,0.012656174600124359,3
54,mnist_relu_3_100,1,1.0,0.0,0.010600008070468903,4
55,mnist_relu_3_100,1,0.1463414579629898,0.0038865655660629272,0.013292580842971802,5
