,network,metric_1,metric_2,metric_3,metric_4,run
0,mnist-net,0,0.0,0.010236920788884163,0.012522470206022263,0
1,mnist-net,1,0.009727626107633114,0.006047438830137253,0.01316594798117876,1
2,mnist-net,1,0.12000001221895218,0.002574656158685684,0.007395182736217976,2
3,mnist-net,1,0.07570978254079819,0.003421500325202942,0.011620994657278061,3
4,mnist-net,1,0.29501914978027344,0.00028458796441555023,0.008635292761027813,4
5,mnist-net,1,0.3611111640930176,0.0,0.006295584142208099,5
6,mnist-net,1,0.35555556416511536,0.00045530498027801514,0.0031532468274235725,6
7,mnist-net,1,0.6410256624221802,0.0,0.002757519483566284,7
8,mnist-net,1,0.13071896135807037,0.0021889694035053253,0.00864630751311779,8
9,mnist-net,1,0.0869167372584343,0.002726389095187187,0.013614200986921787,9
10,mnist-net_256x2,1,0.15286624431610107,0.001849401742219925,0.006519702263176441,0
11,mnist-net_256x2,1,0.1666666567325592,0.0007776739075779915,0.002398810349404812,1
12,mnist-net_256x2,1,0.21663621068000793,0.0017770230770111084,0.011805812828242779,2
13,mnist-net_256x2,0,0.0,0.0030468814074993134,0.004361124709248543,3
14,mnist-net_256x2,1,0.08027923107147217,0.003072436898946762,0.011254164390265942,4
15,mnist-net_256x2,1,0.24645894765853882,0.0010921899229288101,0.00927556399255991,5
16,mnist-net_256x2,1,0.04000000283122063,0.003286171704530716,0.009948630817234516,6
17,mnist-net_256x2,1,0.3009708821773529,0.0,0.0066215405240654945,7
18,mnist-net_256x2,0,0.0,0.009984422475099564,0.011445336043834686,8
19,mnist-net_256x2,1,0.15783581137657166,0.0016224421560764313,0.011213057674467564,9
20,mnist-net_256x4,1,0.22068965435028076,0.0004443954676389694,0.012349050492048264,0
21,mnist-net_256x4,1,0.1428571343421936,0.0018793269991874695,0.005688026547431946,1
22,mnist-net_256x4,1,0.17560076713562012,0.0013978313654661179,0.017674334347248077,2
23,mnist-net_256x4,0,0.0,0.005751229822635651,0.005791386589407921,3
24,mnist-net_256x4,0,0.0,0.013896128162741661,0.0022868290543556213,4
25,mnist-net_256x4,1,0.3191489279270172,0.0,0.005978267639875412,5
26,mnist-net_256x4,1,0.02415458858013153,0.006708895787596703,0.014401014894247055,6
27,mnist-net_256x4,1,0.17777778208255768,0.0,0.010562745854258537,7
28,mnist-net_256x4,0,0.0,0.0036568939685821533,0.0008570235222578049,8
