image,Epsilon,runtime
0,0.029,97.06009435653687
1,0.065,3806.7717819213867
2,0.025,88.90781903266907
3,0.045,1245.2212448120117
4,0.039,78.03816628456116
5,0.027,147.7683620452881
6,0.027,104.76319742202759
7,0.061,5272.692588329315
8,0.025,158.59189224243164
9,0.057,7129.994106769562
10,0.025,97.45106220245361
11,0.035,526.2271327972412
12,0.069,249.98449206352234
13,0.045,240.23318886756897
14,0.013,62.9671733379364
15,0.047,3549.4158005714417
16,0.031,3516.4039912223816
17,0.071,4087.982013940811
18,0.015,35.6069610118866
19,0.019,44.1407151222229
20,0.067,7072.585979938507
21,0.067,10594.976620197296
22,0.021,52.66761875152588
23,0.049,5584.225992679596
24,0.019,51.060428619384766
25,0.029,88.9385392665863
26,0.039,3509.200248479843
27,0.085,8189.095241308212
28,0.061,9190.997699022293
29,0.023,972.7250599861145
30,0.041,3585.759285926819
31,0.055,591.2220060825348
32,0.027,59.47807788848877
33,0.025,121.84901571273804
34,0.023,54.24541783332825
35,0.043,5081.44636631012
36,0.027,49.244452238082886
37,0.059,4102.331661939621
38,0.043,2092.7029321193695
39,0.027,52.34513211250305
40,0.017,43.223870038986206
41,0.069,10837.48673081398
42,0.017,208.88347935676575
43,0.037,1524.7584443092346
44,0.041,5245.798264741898
45,0.035,446.26708364486694
46,0.081,11492.676804542542
47,0.071,7107.85342335701
48,0.015,62.12369132041931
49,0.045,195.7145893573761
50,0.029,288.0526690483093
51,0.085,7551.029670953751
52,0.033,493.8838264942169
53,0.015,71.33254814147949
54,0.019,108.37956142425537
55,0.081,10775.04472732544
56,0.089,1457.451427936554
57,0.037,734.089507818222
58,0.065,3562.2063291072845
59,0.043,271.5335125923157
60,0.045,10568.491352319717
61,0.041,8785.22881102562
62,0.039,3582.4536411762238
63,0.035,671.8432879447937
64,0.029,48.56414604187012
65,0.047,7090.693486213684
66,0.053,2216.943161010742
67,0.027,134.93347716331482
68,0.035,72.83662819862366
69,0.029,53.369542360305786
70,0.027,143.2027359008789
71,0.029,714.7877790927887
72,0.019,80.40447616577148
73,0.049,583.998467206955
74,0.047,1437.5280437469482
75,0.045,4995.796140909195
76,0.041,121.91495656967163
77,0.043,267.59950065612793
78,0.037,789.4173269271851
79,0.043,2899.419718980789
81,0.029,84.03979754447937
82,0.049,2378.845869779587
83,0.043,146.4678657054901
84,0.039,3548.5707058906555
85,0.069,7669.6629986763
86,0.039,1743.0796914100647
87,0.047,1277.6695907115936
88,0.065,1736.7326481342316
89,0.067,7085.042872428894
90,0.049,8975.651644229889
91,0.031,119.45925045013428
92,0.017,45.52556777000427
93,0.035,59.67749834060669
94,0.073,11276.502420186996
95,0.067,7049.1899037361145
96,0.033,4333.364855766296
97,0.081,11120.845051527023
98,0.041,2128.1981093883514
99,0.033,4663.661114692688
100,0.019,65.43982982635498
101,0.027,242.1174533367157
102,0.017,58.46608924865723
103,0.039,2707.8696613311768
104,0.025,61.08880400657654
105,0.041,280.8617157936096
106,0.049,6816.363965749741
107,0.049,2100.478365421295
108,0.065,5300.718529224396
109,0.029,2771.6844885349274
110,0.037,478.18123507499695
111,0.085,7492.335244655609
112,0.019,113.85241389274597
113,0.045,1664.6574885845184
114,0.097,9992.112421274185
115,0.051,3491.0240931510925
116,0.049,4191.118842124939
117,0.027,115.80988073348999
118,0.069,7085.912773370743
119,0.063,3547.5710649490356
120,0.033,4009.158451795578
121,0.077,3830.074336051941
122,0.043,119.62174677848816
123,0.039,7266.644886732101
124,0.015,60.06070804595947
125,0.057,6795.584120988846
126,0.033,102.58083748817444
127,0.051,1555.9230930805206
128,0.019,65.05706453323364
129,0.045,263.27708411216736
130,0.049,1686.6490342617035
131,0.049,2062.2262995243073
132,0.019,844.0052344799042
133,0.029,981.827794790268
134,0.075,10637.968007564545
135,0.063,1048.3588497638702
136,0.035,418.32781767845154
137,0.041,230.94041562080383
138,0.039,144.5729420185089
139,0.043,1064.9976801872253
140,0.031,3504.442769050598
141,0.033,653.1481881141663
142,0.025,102.49025225639343
143,0.027,93.01662826538086
144,0.061,12091.29293012619
145,0.055,7090.222119569778
146,0.099,4033.0374393463135
147,0.039,454.8615298271179
148,0.003,49.877559423446655
149,0.071,3479.6629860401154
150,0.027,3924.342584848404
151,0.039,218.71178030967712
152,0.013,35.13424229621887
153,0.037,72.90121388435364
154,0.019,145.28470468521118
155,0.051,166.23885560035706
156,0.071,7227.216876268387
157,0.061,3834.183928966522
158,0.023,201.31107115745544
159,0.031,3612.734094619751
160,0.053,5955.271340370178
161,0.061,2101.3519275188446
162,0.031,733.7633438110352
163,0.033,100.79230666160583
164,0.053,3621.810075521469
165,0.057,5217.548587560654
166,0.035,111.06466960906982
167,0.043,791.1461107730865
168,0.015,43.56308150291443
169,0.037,196.65456223487854
170,0.039,790.9816913604736
171,0.049,7077.703507423401
173,0.031,639.8021688461304
174,0.025,124.84596538543701
175,0.041,3557.6932158470154
176,0.027,47.77308368682861
177,0.035,277.6699025630951
178,0.025,842.8291172981262
179,0.041,50.87313485145569
180,0.005,43.57789444923401
181,0.039,51.765530586242676
182,0.041,3571.447953939438
183,0.061,9055.233620882034
184,0.031,187.19655966758728
185,0.043,357.6160361766815
186,0.023,213.19328474998474
187,0.057,2320.9784479141235
188,0.071,7231.305033445358
189,0.045,1330.1481268405914
190,0.043,7322.032212495804
191,0.053,7180.493054151535
193,0.041,7083.564824819565
194,0.035,395.9747738838196
195,0.037,852.6235706806183
196,0.039,457.0789053440094
197,0.073,7303.958084344864
198,0.041,1216.1283836364746
199,0.025,111.17612624168396
200,0.033,112.6994571685791
201,0.047,1534.9696502685547
202,0.043,7303.1001698970795
203,0.055,959.0631484985352
204,0.041,7007.494097471237
205,0.049,1557.6397111415863
206,0.061,8886.739336490631
207,0.017,44.92650628089905
208,0.021,43.20148253440857
209,0.075,2055.662406206131
210,0.031,446.90023040771484
211,0.027,40.9209885597229
212,0.003,22.190190076828003
213,0.053,412.92164063453674
214,0.039,3664.021211862564
215,0.057,232.22936058044434
216,0.025,63.74016451835632
217,0.033,3645.1078860759735
218,0.037,523.7103617191315
219,0.049,544.3397824764252
220,0.067,12494.669400930405
221,0.053,692.0598471164703
223,0.031,66.55948114395142
224,0.021,137.97309827804565
225,0.045,3603.374398946762
226,0.087,3599.1303100585938
227,0.015,35.71911001205444
228,0.037,1412.8368990421295
229,0.025,242.1415011882782
230,0.039,3613.457934856415
231,0.017,22.672789573669434
232,0.041,94.65342307090759
233,0.013,33.30605959892273
234,0.035,4212.675353765488
235,0.031,3483.578040122986
236,0.055,1720.906708240509
237,0.031,3552.2442536354065
238,0.045,5767.065850734711
239,0.023,67.15814447402954
240,0.043,719.777595281601
241,0.009,24.585766553878784
242,0.113,14477.499559640884
243,0.021,95.34508085250854
244,0.005,23.172929525375366
245,0.039,1461.525844335556
246,0.077,7948.472376346588
248,0.053,1565.7389860153198
249,0.015,20.280089855194092
250,0.019,15.780189275741577
251,0.021,78.79972338676453
252,0.053,3517.4411449432373
253,0.041,3536.9996190071106
254,0.031,5322.014894962311
255,0.029,2520.611656665802
