image,Epsilon,runtime
0,0.007,53.83837890625
1,0.109,9949.041672468185
2,0.029,3357.483038663864
3,0.079,13726.245273590088
4,0.019,3229.3835010528564
5,0.105,10425.045514583588
6,0.041,3283.037111759186
7,0.117,13536.448348760605
8,0.041,6950.802247285843
9,0.087,3571.7261645793915
10,0.099,10696.292276382446
11,0.037,6873.6524477005005
12,0.157,13438.933705329895
13,0.097,6652.741753816605
14,0.035,7572.043187618256
15,0.069,6888.648401498795
16,0.111,13512.7913813591
17,0.091,11459.281488656998
18,0.027,8264.094809532166
19,0.039,7878.29575586319
20,0.075,6583.086119651794
21,0.115,13514.284164190292
22,0.045,9220.355788707733
23,0.077,13270.978892326355
24,0.033,7148.277862071991
25,0.049,6895.103480100632
26,0.047,10030.854959249496
27,0.163,10438.452951669693
28,0.165,14023.250142812729
29,0.019,3494.4856481552124
30,0.113,10331.20662856102
31,0.107,11460.777784824371
32,0.065,5938.49467253685
33,0.049,9889.890897750854
34,0.063,3604.249739408493
35,0.085,6914.659038066864
36,0.063,3408.37184214592
37,0.117,13955.754655122757
38,0.049,7076.75510430336
39,0.041,6967.919531106949
40,0.045,7218.46791768074
41,0.093,12730.520978450775
42,0.035,9928.549381494522
43,0.053,10331.889783859253
44,0.079,10813.090616226196
45,0.059,17639.51625919342
46,0.053,10407.417569637299
47,0.113,13440.36786031723
48,0.001,35.10667109489441
49,0.081,13710.867911100388
50,0.085,6755.252497434616
51,0.145,6929.4681668281555
52,0.077,10321.573252677917
53,0.019,7088.4872987270355
55,0.043,11213.90162062645
56,0.137,8140.561310052872
57,0.051,8910.713498592377
58,0.063,10041.044505119324
59,0.081,13563.081605434418
60,0.031,3250.4482321739197
61,0.045,6984.46599817276
62,0.081,6896.23712015152
63,0.097,13246.334145784378
64,0.061,17912.46659874916
66,0.099,8960.191869974136
67,0.029,3516.527580976486
68,0.053,10401.912457227707
69,0.071,6801.386460542679
70,0.011,3582.3585753440857
71,0.055,6834.057524442673
72,0.045,7728.007271289825
73,0.073,6970.463088989258
74,0.091,10386.981612205505
75,0.073,6769.77312541008
76,0.081,13710.331979990005
77,0.081,13613.100878477097
78,0.069,7106.111595153809
79,0.055,7015.775234937668
81,0.105,10304.60170674324
82,0.129,20961.696840286255
83,0.057,10292.228823423386
84,0.025,6444.670044660568
85,0.069,9324.257240533829
86,0.089,10480.23850274086
87,0.075,6953.169140100479
88,0.085,20486.157259702682
89,0.065,3426.820609331131
90,0.111,10351.103114366531
91,0.073,7224.069864749908
92,0.015,3342.5931391716003
93,0.057,7575.186499834061
94,0.047,6650.061281681061
95,0.053,6905.394001483917
96,0.017,6827.289241075516
97,0.067,7106.335845708847
98,0.087,3773.874307155609
