image,Epsilon,runtime
1,0.079,10619.331127405167
2,0.013,27.529434204101562
3,0.027,139.70597577095032
4,0.023,3438.904492378235
5,0.027,1174.6409032344818
6,0.019,17.263425588607788
7,0.081,10583.58151102066
8,0.021,48.51575446128845
9,0.015,23.05007553100586
10,0.053,7863.744509458542
11,0.007,27.891799449920654
12,0.053,5271.847821235657
13,0.029,651.4031393527985
14,0.021,3576.6064689159393
15,0.033,1122.316922903061
17,0.029,664.3142430782318
18,0.001,19.081891536712646
19,0.009,24.67836570739746
20,0.013,22.86619472503662
21,0.057,7393.8053686618805
22,0.011,27.582526922225952
23,0.029,139.33766865730286
25,0.027,23.15461540222168
27,0.087,6619.451331853867
28,0.017,23.968138456344604
31,0.007,18.26315665245056
32,0.019,153.10090446472168
33,0.003,21.86285972595215
36,0.029,207.74111604690552
37,0.023,3802.3358495235443
39,0.031,3513.5301690101624
40,0.021,46.34441113471985
41,0.017,52.95290923118591
42,0.013,23.970521450042725
43,0.011,24.276368618011475
45,0.021,23.481040954589844
46,0.001,19.569527626037598
49,0.063,3563.599666595459
50,0.033,7087.2072224617
51,0.107,10609.952971696854
52,0.027,22.76744294166565
54,0.003,21.068156480789185
55,0.009,21.47387170791626
56,0.051,4462.032334804535
57,0.021,43.00106930732727
58,0.017,23.702763080596924
59,0.023,24.002026081085205
61,0.005,22.11876606941223
62,0.019,33.47839140892029
63,0.057,7057.507098436356
64,0.005,27.83084726333618
66,0.029,3605.663210630417
67,0.021,66.09289574623108
68,0.057,7251.5145428180695
69,0.057,7033.752535104752
71,0.025,3618.59610748291
72,0.021,337.509325504303
73,0.027,3614.761100292206
74,0.071,7059.928512573242
75,0.015,124.97052502632141
77,0.027,165.90320706367493
78,0.027,41.80632019042969
79,0.015,17.890065670013428
81,0.033,3520.281606197357
82,0.081,3638.0043008327484
83,0.019,120.78736448287964
84,0.031,47.2493679523468
86,0.069,7036.78440952301
87,0.021,42.44947957992554
88,0.055,5198.315415382385
89,0.011,29.39595103263855
90,0.023,81.12344408035278
91,0.035,163.1306848526001
92,0.021,3404.006447792053
93,0.021,28.584931135177612
94,0.025,123.35330653190613
95,0.047,7093.104402065277
96,0.017,68.5907473564148
97,0.007,18.58309292793274
98,0.069,7119.919310092926
99,0.025,329.757226228714
101,0.033,63.368637561798096
102,0.019,31.295238494873047
103,0.027,27.361629486083984
104,0.023,54.12520623207092
105,0.023,23.047212600708008
106,0.011,21.572389364242554
107,0.041,363.76636481285095
108,0.029,3501.7836995124817
110,0.019,109.56629085540771
111,0.067,7166.741546392441
112,0.023,84.84247970581055
113,0.023,27.37007236480713
114,0.115,10665.069335222244
115,0.019,49.50984525680542
116,0.033,5014.401314020157
117,0.033,32.78428626060486
118,0.065,3822.395078420639
119,0.053,4102.714728832245
120,0.053,3612.891492128372
121,0.095,10668.954536676407
122,0.021,48.03391909599304
123,0.029,19.9667010307312
124,0.021,3538.830214738846
125,0.013,19.17012882232666
126,0.001,18.653883457183838
127,0.007,21.566806077957153
128,0.019,21.295857667922974
129,0.013,23.661423921585083
130,0.029,3519.720067501068
133,0.015,25.05663514137268
134,0.017,20.87376093864441
135,0.043,6491.001985788345
136,0.057,7922.544942617416
137,0.015,38.11118268966675
139,0.011,17.768933534622192
140,,20.95320725440979
142,0.021,286.6418459415436
147,0.039,3607.649170398712
149,0.065,3518.6580324172974
150,0.007,23.83040714263916
151,,23.21289610862732
152,0.001,19.845821142196655
153,,20.465511322021484
155,,16.369664669036865
156,0.017,26.006014347076416
157,0.065,3622.958392381668
158,,20.251775979995728
159,,16.849237203598022
161,0.021,33.5688898563385
162,,17.664578676223755
163,0.027,49.136852979660034
164,,17.95890712738037
165,,19.65516233444214
166,,20.232236623764038
167,,21.34839630126953
169,,21.052463054656982
170,0.005,18.579469919204712
171,,16.754647493362427
173,,17.753987789154053
174,0.057,3500.192572116852
175,,22.625847101211548
176,0.017,166.0696017742157
177,0.031,3598.6124019622803
178,0.021,241.17042899131775
179,0.009,18.47527503967285
183,0.101,7366.806185722351
184,0.029,3515.738480091095
185,,26.798609018325806
186,0.041,83.21760201454163
187,,21.563713312149048
188,0.087,10585.544147968292
189,0.017,79.20112371444702
190,0.021,22.356571435928345
191,0.023,89.03060293197632
192,0.027,1676.2246706485748
193,0.009,18.591238498687744
194,0.059,7324.629498004913
195,,18.36910843849182
196,0.021,25.359156847000122
197,0.019,22.254695177078247
198,,17.64348006248474
199,0.065,3596.0751049518585
200,,17.2093722820282
201,0.009,19.65938115119934
202,0.027,3369.7370190620422
203,0.015,30.676068782806396
204,0.019,40.10995650291443
205,,18.37490940093994
206,0.019,13.846558332443237
208,0.063,10590.470129013062
209,0.039,3467.207325696945
210,0.003,21.865557432174683
211,,18.066465854644775
213,,20.152020692825317
214,0.019,24.103251218795776
215,0.031,3568.174493789673
216,0.061,10558.13449382782
217,,16.763363361358643
218,,19.56367802619934
219,,20.263486862182617
220,0.023,19.646403789520264
221,0.029,79.4979293346405
222,0.029,33.87771558761597
223,0.017,24.04431700706482
226,0.047,7085.771859884262
227,0.001,26.294534921646118
229,0.017,36.00416088104248
230,,17.861664056777954
231,0.041,6919.033804893494
233,,17.433408737182617
234,0.013,17.740501642227173
235,,18.16816782951355
237,,17.56033968925476
238,0.029,102.18272233009338
239,0.021,61.23696970939636
241,,20.64915943145752
242,0.005,17.26289939880371
243,,17.547584056854248
245,,17.753108501434326
246,0.087,6753.44206237793
247,,17.24937152862549
248,0.013,17.674696683883667
249,0.035,3529.109881401062
251,0.011,21.584078550338745
252,0.031,3370.420686006546
253,,17.054770469665527
255,0.013,22.57494878768921
256,0.043,187.41668033599854
257,0.041,7105.194516181946
258,0.057,6979.903825998306
