image,Epsilon,runtime
1,0.099,8440.340862035751
2,0.013,3415.6024599075317
3,0.119,10704.60162305832
4,0.047,10912.808954954147
5,0.027,7217.408995389938
6,0.133,4417.112294435501
7,0.169,11635.34792971611
8,0.107,7084.352630138397
9,0.123,14205.973895788193
10,0.141,7128.47319316864
11,0.031,4313.358950138092
12,0.213,14038.460970878601
13,0.085,13997.098765134811
14,0.107,11304.462639331818
15,0.125,15137.063122987747
17,0.005,2034.6972682476044
18,0.015,3512.2608885765076
20,0.071,7683.725763082504
21,0.057,7118.770853281021
22,0.007,3823.411068916321
23,0.125,14303.604564905167
24,0.027,9713.557661056519
26,0.057,10488.865283727646
27,0.235,10824.44612622261
28,0.031,4372.235787391663
29,0.021,3491.410411834717
30,0.035,7030.289136648178
31,0.023,6993.42242026329
32,0.057,10593.388760328293
34,0.101,10926.125938892365
35,0.069,13992.643029212952
36,0.043,4571.582056522369
37,0.143,10499.817205190659
38,0.149,10668.515195846558
39,0.007,3600.460138320923
40,0.121,14252.084706783295
41,0.021,4252.354150772095
42,0.063,3494.1421382427216
43,0.025,6940.479683876038
44,0.097,13982.402555465698
45,0.069,7870.990254163742
46,0.019,3462.111350774765
47,0.103,7653.812193870544
49,0.125,14011.762552976608
50,0.125,11174.681680679321
51,0.131,3538.4446244239807
52,0.081,10521.730489969254
53,0.005,402.6481912136078
54,0.021,4195.753000020981
55,0.025,7036.037396430969
56,0.121,14910.306255340576
57,0.025,7006.455817937851
58,0.047,7944.2335040569305
59,0.121,10568.904716968536
60,0.027,7814.199714899063
61,0.075,10430.815332889557
62,0.009,3675.5091190338135
63,0.073,10429.105272769928
64,0.041,3491.1600770950317
65,0.063,6990.615822553635
66,0.021,4086.0305964946747
67,0.073,7030.974858522415
68,0.029,3414.803469181061
69,0.077,10541.77093744278
70,0.065,10565.9542491436
71,0.099,6953.717137813568
72,0.133,4250.035548210144
73,0.021,10271.697974443436
74,0.113,10363.521254777908
75,0.037,12044.895944833755
76,0.035,7133.416522264481
77,0.115,12828.710460424423
78,0.139,8030.505510568619
79,0.049,7007.122611761093
81,0.069,7197.920902490616
82,0.075,7077.447203636169
83,0.031,10653.722687721252
84,0.081,10680.184692382812
85,0.027,10930.918572187424
86,0.069,7245.747091770172
87,0.023,8604.25069642067
88,0.125,14125.016687631607
89,0.065,10766.217189073563
90,0.097,14073.58318400383
91,0.103,10557.605116605759
92,0.023,7816.594893217087
93,0.015,3485.705150604248
94,0.079,7128.62967467308
95,0.139,7440.398987770081
96,0.047,7287.38631606102
97,0.041,7144.790512084961
98,0.115,11978.458347082138
99,0.085,10535.215620279312
100,0.049,7564.857155799866
101,0.079,10687.232722520828
102,0.091,7077.063451051712
103,0.049,7053.057176589966
104,0.035,11727.902738332748
105,0.087,12194.203471422195
106,0.043,3613.837170600891
107,0.091,11455.33999824524
108,0.067,7087.881271123886
109,0.061,13875.73297214508
110,0.009,4881.6382892131805
111,0.011,3607.5150094032288
112,0.119,10313.872054815292
113,0.047,8002.230471134186
114,0.115,12354.810009479523
115,0.003,529.1478343009949
116,0.033,6985.90377831459
117,0.055,10507.229937553406
118,0.025,14161.121927022934
119,0.041,3706.2399983406067
120,0.043,3612.3988394737244
121,0.025,7806.626614809036
122,0.093,11168.950055837631
123,0.049,13670.686959266663
124,0.023,7836.245904445648
125,0.031,3573.5982151031494
126,0.047,10474.571976423264
127,0.125,14701.93843960762
128,0.043,7428.084846973419
129,0.081,10393.50526881218
130,0.105,13587.230539560318
131,0.057,11459.447415351868
132,0.081,10391.051512002945
133,0.151,10646.539628982544
134,0.053,7596.887228727341
135,0.137,6976.902304172516
136,0.109,13262.679730892181
137,0.145,7919.718288183212
138,0.103,14740.893771648407
139,0.013,4543.367080450058
140,0.039,7693.624939918518
141,0.061,11764.12596988678
142,0.103,11372.075793504715
143,0.137,7076.704577445984
144,0.125,14377.233567237854
145,0.093,12161.083437204361
146,0.027,10919.022413492203
147,0.081,10672.77937412262
148,0.115,10875.86241030693
149,0.003,208.3077211380005
150,0.125,14541.230418920517
151,0.031,3553.260136127472
152,0.127,13839.800153970718
153,0.023,6919.033795595169
154,0.063,3546.5133695602417
155,0.047,10343.827530145645
156,0.089,10691.232290029526
157,0.191,13868.623039722443
158,0.019,3575.265745162964
159,0.019,3559.14586687088
160,0.037,10656.041461229324
161,0.011,6507.102382898331
162,0.075,10616.68192601204
163,0.047,7047.980144023895
164,0.027,9194.724067926407
165,0.069,11477.604344367981
166,0.065,12018.83118891716
167,0.069,8280.6713347435
