epsilon,result,runtime
0.133,error,1.5183889865875244
0.265,error,1.5493667125701904
0.201,error,1.527470350265503
0.199,error,1.5661735534667969
0.203,error,1.5274744033813477
0.197,error,1.559788703918457
0.195,error,1.5110111236572266
0.20500000000000002,error,1.519150972366333
0.20700000000000002,error,1.4878990650177002
0.193,error,1.522498369216919
0.191,error,1.4844133853912354
0.20900000000000002,error,1.4814281463623047
0.189,error,1.4794092178344727
0.211,error,1.4877901077270508
0.187,error,1.5386550426483154
0.213,error,1.531003475189209
0.185,error,1.4897778034210205
0.215,error,1.489640712738037
0.183,error,1.4679648876190186
0.217,error,1.4829330444335938
0.181,error,1.5283362865447998
0.219,error,1.5123839378356934
0.221,error,1.5079631805419922
0.179,error,1.5250167846679688
0.177,error,1.558774471282959
0.223,error,1.5770220756530762
0.17500000000000002,error,1.5092830657958984
0.225,error,1.482367992401123
0.17300000000000001,error,1.4681308269500732
0.227,error,1.4969584941864014
0.229,error,1.4707202911376953
0.171,error,1.504286289215088
0.169,error,1.470824956893921
0.231,error,1.5380589962005615
0.167,error,1.4768776893615723
0.233,error,1.4855046272277832
0.165,error,1.5091800689697266
0.23500000000000001,error,1.478816032409668
0.163,error,1.520575761795044
0.23700000000000002,error,1.4897642135620117
0.161,error,1.4913651943206787
0.23900000000000002,error,1.5113348960876465
0.241,error,1.491886854171753
0.159,error,1.5329883098602295
0.157,error,1.4309234619140625
0.243,error,1.4718303680419922
0.155,error,1.492915391921997
0.245,error,1.4618713855743408
0.153,error,1.5227255821228027
0.247,error,1.5046989917755127
0.249,error,1.5441925525665283
0.151,error,1.5759656429290771
0.251,error,1.5087966918945312
0.149,error,1.54390549659729
0.253,error,1.4879817962646484
0.147,error,1.5091350078582764
0.255,error,1.5270476341247559
0.14500000000000002,error,1.5645334720611572
0.257,error,1.486804723739624
0.14300000000000002,error,1.5220587253570557
0.14100000000000001,error,1.500072717666626
0.259,error,1.487999677658081
0.261,error,1.5199029445648193
0.139,error,1.5497419834136963
0.263,error,1.4704875946044922
0.137,error,1.507951021194458
0.267,error,1.4550468921661377
0.135,error,1.5048086643218994
0.131,error,1.5421977043151855
0.269,error,1.5322089195251465
0.129,error,1.4755852222442627
0.271,error,1.5080931186676025
0.273,error,1.4408819675445557
0.127,error,1.5247046947479248
0.275,error,1.4540541172027588
0.125,error,1.5061578750610352
0.123,error,1.431889533996582
0.277,error,1.5155458450317383
0.121,error,1.4081964492797852
0.279,error,1.4988722801208496
0.11900000000000001,error,1.5658535957336426
0.281,error,1.490565299987793
0.117,error,1.5027892589569092
0.28300000000000003,error,1.484001636505127
0.115,error,1.5026097297668457
0.28500000000000003,error,1.5022478103637695
0.113,error,1.4191923141479492
0.28700000000000003,error,1.4634509086608887
0.111,error,1.488370656967163
0.28900000000000003,error,1.464186668395996
0.109,error,1.5285041332244873
0.291,error,1.4205553531646729
0.293,error,1.470146656036377
0.107,error,1.5074071884155273
0.10500000000000001,error,1.5323452949523926
0.295,error,1.5386958122253418
0.297,error,1.4678547382354736
0.10300000000000001,error,1.5128254890441895
0.101,error,1.4830327033996582
0.299,error,1.4808602333068848
0.099,error,1.4645638465881348
0.301,error,1.461799144744873
0.097,error,1.4818987846374512
0.303,error,1.4896643161773682
0.305,error,1.4666540622711182
0.095,error,1.5409760475158691
0.093,error,1.5087196826934814
0.307,error,1.5127887725830078
0.091,error,1.5259993076324463
0.309,error,1.5082812309265137
0.311,error,1.4410946369171143
0.089,error,1.4964900016784668
0.313,error,1.4682581424713135
0.08700000000000001,error,1.5123987197875977
0.085,error,1.4545831680297852
0.315,error,1.5120291709899902
0.083,error,1.60294508934021
0.317,error,1.5214433670043945
0.081,error,1.536616325378418
0.319,error,1.5381922721862793
0.079,error,1.56424880027771
0.321,error,1.6015355587005615
0.323,error,1.4939401149749756
0.077,error,1.5438199043273926
0.075,error,1.536149024963379
0.325,error,1.5306785106658936
0.07300000000000001,error,1.4629883766174316
0.327,error,1.4900166988372803
0.07100000000000001,error,1.468322515487671
0.329,error,1.5021963119506836
0.069,error,1.4265527725219727
0.331,error,1.474740982055664
0.333,error,1.4644649028778076
0.067,error,1.5880897045135498
0.335,error,1.4748032093048096
0.065,error,1.4898231029510498
0.337,error,1.4374079704284668
0.063,error,1.4594159126281738
0.339,error,1.4398107528686523
