image,Epsilon,label,runtime,network,ds
3,0.057,0,6654.444922924042,mnist-net,test
10,0.067,0,7078.498678445816,mnist-net,test
13,0.077,0,5867.42404460907,mnist-net,test
25,0.063,0,788.4834461212158,mnist-net,test
28,0.071,0,7252.95848441124,mnist-net,test
55,0.029,0,241.66472601890564,mnist-net,test
69,0.081,0,9953.832552433014,mnist-net,test
71,0.091,0,10617.657994508743,mnist-net,test
101,0.069,0,3545.7665424346924,mnist-net,test
126,0.083,0,10075.421691179276,mnist-net,test
136,0.061,0,7232.097560167313,mnist-net,test
148,0.061,0,13629.175097227097,mnist-net,test
157,0.065,0,3559.1095390319824,mnist-net,test
183,0.085,0,10554.185609340668,mnist-net,test
188,0.055,0,3615.5171189308167,mnist-net,test
192,0.051,0,6685.270275115967,mnist-net,test
194,0.023,0,186.30220866203308,mnist-net,test
215,0.045,0,3732.55094242096,mnist-net,test
246,0.077,0,9634.038365125656,mnist-net,test
269,0.065,0,3488.678047657013,mnist-net,test
271,0.057,0,4213.221360445023,mnist-net,test
294,0.043,0,647.0719418525696,mnist-net,test
296,0.085,0,6040.153332233429,mnist-net,test
297,0.067,0,6158.967869758606,mnist-net,test
305,0.037,0,162.29102087020874,mnist-net,test
311,0.083,0,10005.50097489357,mnist-net,test
312,0.077,0,10367.256227970123,mnist-net,test
324,0.015,0,183.5120906829834,mnist-net,test
327,0.065,0,3440.626038312912,mnist-net,test
346,0.027,0,428.8254716396332,mnist-net,test
365,0.031,0,423.8622877597809,mnist-net,test
372,0.057,0,7476.561914682388,mnist-net,test
380,0.037,0,172.244291305542,mnist-net,test
407,0.065,0,1305.2928845882416,mnist-net,test
424,0.067,0,6746.866856098175,mnist-net,test
440,0.097,0,9398.78727555275,mnist-net,test
441,0.069,0,6865.241477251053,mnist-net,test
443,0.023,0,553.0434770584106,mnist-net,test
459,0.089,0,10683.1698884964,mnist-net,test
485,0.057,0,7428.381182432175,mnist-net,test
490,0.037,0,2034.4007716178892,mnist-net,test
498,0.047,0,4289.108911037445,mnist-net,test
525,0.073,0,6677.733699560165,mnist-net,test
545,0.033,0,3773.945290327072,mnist-net,test
546,0.079,0,3455.653327226639,mnist-net,test
552,0.035,0,565.1719379425049,mnist-net,test
561,0.033,0,1989.7712552547453,mnist-net,test
564,0.061,0,9998.102303028109,mnist-net,test
567,0.043,0,6868.062305927277,mnist-net,test
581,0.055,0,3543.874545097351,mnist-net,test
586,0.049,0,6741.843914985657,mnist-net,test
592,0.091,0,5778.875231027603,mnist-net,test
597,0.055,0,2488.957005262375,mnist-net,test
608,0.055,0,3597.133383512497,mnist-net,test
611,0.043,0,466.2911925315857,mnist-net,test
620,0.055,0,7034.170629262924,mnist-net,test
642,0.029,0,173.59066605567932,mnist-net,test
644,0.059,0,7589.028702497482,mnist-net,test
656,0.039,0,1107.9434909820557,mnist-net,test
661,0.049,0,6519.044444322586,mnist-net,test
701,0.079,0,6722.426511287689,mnist-net,test
704,0.041,0,3483.362455606461,mnist-net,test
713,0.033,0,3488.577976703644,mnist-net,test
717,0.007,0,31.386168479919437,mnist-net,test
721,0.057,0,4105.739035129547,mnist-net,test
723,0.037,0,8489.463715076447,mnist-net,test
742,0.081,0,5239.106003046036,mnist-net,test
750,0.073,0,4049.135970830917,mnist-net,test
