epsilon,result,label,runtime,network,image,ds
0.265,sat,0,4.537180423736572,mnist-net,10,test
0.133,sat,0,4.514564514160156,mnist-net,10,test
0.131,sat,0,4.456324338912964,mnist-net,10,test
0.065,timeout,0,3600.0,mnist-net,10,test
0.063,timeout,0,3600.0,mnist-net,10,test
0.061,unsat,0,3293.6004230976105,mnist-net,10,test
0.099,sat,0,3.665024757385254,mnist-net,10,test
0.083,sat,0,10.62789511680603,mnist-net,10,test
0.075,sat,0,10.466459274291992,mnist-net,10,test
0.071,sat,0,40.68800020217896,mnist-net,10,test
0.069,sat,0,53.58477187156677,mnist-net,10,test
0.067,unsat,0,3463.49554014206,mnist-net,10,test
0.133,sat,0,4.413593769073486,mnist-net,1001,test
0.265,cancelled,0,7.697945594787598,mnist-net,1001,test
0.265,sat,0,4.4511027336120605,mnist-net,1001,test
0.087,sat,0,24.077147245407104,mnist-net,1001,test
0.041,unsat,0,163.642009973526,mnist-net,1001,test
0.043,unsat,0,213.35121822357175,mnist-net,1001,test
0.063,unsat,0,3158.9951255321503,mnist-net,1001,test
0.065,unsat,0,3179.3653893470764,mnist-net,1001,test
0.077,sat,0,77.55928564071655,mnist-net,1001,test
0.075,sat,0,149.01560759544373,mnist-net,1001,test
0.071,unsat,0,3215.858253479004,mnist-net,1001,test
0.069,cancelled,0,3293.607882976532,mnist-net,1001,test
0.073,unsat,0,3578.830841064453,mnist-net,1001,test
0.265,sat,0,2.7082698345184326,mnist-net,1009,test
0.133,sat,0,4.031304121017456,mnist-net,1009,test
0.131,sat,0,3.92857813835144,mnist-net,1009,test
0.065,sat,0,22.69352769851685,mnist-net,1009,test
0.063,sat,0,22.299197912216187,mnist-net,1009,test
0.029,unsat,0,2.1503193378448486,mnist-net,1009,test
0.031,unsat,0,24.751720666885376,mnist-net,1009,test
0.047,sat,0,509.7518420219421,mnist-net,1009,test
0.037,unsat,0,147.37638020515442,mnist-net,1009,test
0.041,unsat,0,1061.896113395691,mnist-net,1009,test
0.045,unsat,0,3102.969675540924,mnist-net,1009,test
0.043,cancelled,0,1391.4817481040957,mnist-net,1009,test
0.265,sat,0,2.230420589447021,mnist-net,101,test
0.133,sat,0,3.3046538829803467,mnist-net,101,test
0.131,sat,0,3.078508853912353,mnist-net,101,test
0.063,unsat,0,372.3982834815979,mnist-net,101,test
0.097,sat,0,13.943740844726562,mnist-net,101,test
0.081,sat,0,9.669845581054688,mnist-net,101,test
0.073,sat,0,18.172286987304688,mnist-net,101,test
0.065,unsat,0,697.5253698825836,mnist-net,101,test
0.067,unsat,0,1729.805490732193,mnist-net,101,test
0.071,sat,0,1046.5927300453186,mnist-net,101,test
0.069,unsat,0,3103.9625549316406,mnist-net,101,test
0.133,sat,0,5.141654014587402,mnist-net,1034,test
0.265,cancelled,0,9.507032871246338,mnist-net,1034,test
0.087,sat,0,5.2298314571380615,mnist-net,1034,test
0.043,sat,0,5.274258613586426,mnist-net,1034,test
0.019,unsat,0,2.698291540145874,mnist-net,1034,test
0.041,sat,0,4.742268800735474,mnist-net,1034,test
0.029,unsat,0,103.81962847709656,mnist-net,1034,test
0.031,unsat,0,180.5822138786316,mnist-net,1034,test
0.035,unsat,0,3311.713910341263,mnist-net,1034,test
0.039,sat,0,18.323809146881104,mnist-net,1034,test
0.037,unsat,0,3261.407950162888,mnist-net,1034,test
0.133,sat,0,3.52541446685791,mnist-net,1047,test
0.265,cancelled,0,5.603761434555054,mnist-net,1047,test
0.043,unsat,0,14.792338609695436,mnist-net,1047,test
0.089,sat,0,3.45378851890564,mnist-net,1047,test
0.087,unsat,0,3375.473946094513,mnist-net,1047,test
0.065,cancelled,0,3353.954083919525,mnist-net,1047,test
0.265,sat,0,3.2313451766967773,mnist-net,1061,test
0.133,sat,0,5.013974905014038,mnist-net,1061,test
