epsilon,result,runtime
0.265,sat,494.95570182800293
0.133,sat,755.3577799797058
0.131,sat,821.1656715869904
0.063,sat,265.6326868534088
0.065,cancelled,850.5080814361572
0.021,unsat,6.628022193908691
0.041,unsat,1826.1477463245392
0.043000000000000003,unsat,2440.326038837433
0.053000000000000005,timeout,3600
0.051000000000000004,timeout,3600
0.055,timeout,3600
0.049,timeout,3600
0.057,unsat,2346.8648455142975
0.047,cancelled,1732.6019558906555
0.061,sat,336.2077069282532
0.059000000000000004,timeout,3600
