image,Epsilon,runtime
4,0.039,2983.970405101776
19,0.019,497.0336961746216
22,0.021,737.0789563655853
33,0.025,1870.3024010658264
43,0.037,6447.917048454285
45,0.035,3918.1516103744507
48,0.015,854.1517381668091
54,0.019,1248.1654741764069
57,0.037,7865.137897729874
87,0.045,6615.7511677742
110,0.037,3476.9140677452087
116,0.049,6166.325944662094
133,0.029,4111.048440217972
153,0.037,1540.8234713077545
154,0.019,2864.252748966217
162,0.031,3389.0639729499817
167,0.043,3136.6498959064484
170,0.039,2421.97633433342
176,0.027,1473.185303926468
183,0.061,9884.365190505981
195,0.035,6932.341012954712
226,0.037,5547.255661249161
227,0.017,474.42056369781494
247,0.031,4350.9427671432495
264,0.025,4147.017262935638
267,0.039,6373.209514141083
280,0.031,3388.5345306396484
282,0.015,660.9606096744537
285,0.029,3480.637422800064
304,0.023,6632.174332141876
313,0.023,448.5960705280304
319,0.029,2760.1397202014923
322,0.033,3136.990400314331
334,0.033,4098.759824514389
344,0.033,4238.207684516907
346,0.031,4433.954746007919
350,0.033,1737.2268714904785
362,0.031,6134.681625127792
364,0.019,3886.51092171669
374,0.031,1607.4330615997314
383,0.053,3012.015946865082
389,0.029,3685.2502851486206
409,0.027,4380.069054603577
419,0.029,3254.7983572483063
423,0.031,3824.550501346588
424,0.021,332.21722650527954
428,0.029,409.8977909088135
434,0.039,3064.269569158554
441,0.039,2784.515897512436
460,0.019,1131.65585064888
471,0.029,1320.695006608963
482,0.031,7005.189802408218
487,0.021,372.1613230705261
501,0.019,500.8824203014374
520,0.037,3430.745658159256
525,0.035,6720.524529933929
529,0.033,1479.6508696079254
550,0.037,3125.946626186371
566,0.031,2770.376782178879
580,0.031,757.3029384613037
583,0.047,3261.441408634186
589,0.027,4560.6450872421265
595,0.031,2659.157185792923
600,0.041,3819.9952640533447
601,0.027,1804.399393081665
621,0.041,3264.5571937561035
626,0.041,7376.043914079666
631,0.023,804.4424893856049
641,0.051,4706.781366825104
687,0.045,6895.9679408073425
704,0.029,1782.7426223754883
707,0.043,11051.102749586105
727,0.037,8164.239652633667
741,0.041,3795.2291004657745
744,0.027,8817.734091043472
755,0.041,6952.7374267578125
763,0.051,3690.1475043296814
764,0.039,1240.9385635852814
772,0.031,679.0418014526367
782,0.017,392.9016947746277
788,0.009,345.36001110076904
793,0.045,6576.460796117783
800,0.031,6727.471289396286
806,0.037,3842.356148004532
812,0.041,4372.429677248001
822,0.025,3717.450761318207
826,0.051,6152.127197265625
827,0.027,3908.608942270279
864,0.031,3374.2093229293823
887,0.049,7139.224241018295
900,0.025,3422.03444981575
929,0.029,1102.4004933834076
930,0.055,3551.8049964904785
932,0.029,906.4141447544098
940,0.045,4208.875506639481
974,0.017,274.6110746860504
980,0.035,2674.239922761917
