image,Epsilon,runtime
7,0.119,9941.76230764389
10,0.081,13571.94634270668
12,0.127,12669.075761795044
27,0.123,9982.796876907349
30,0.049,17178.19237947464
44,0.053,6207.602826595306
49,0.027,3823.7718420028687
50,0.083,13091.455755233765
74,0.091,6951.537137746811
86,0.053,7017.562389612198
98,0.081,13257.938727378845
107,0.111,8127.321262836456
111,0.101,10129.383860349655
130,0.085,3823.429967880249
135,0.123,10810.42322921753
136,0.043,6932.433423280716
149,0.081,14054.368253707886
157,0.111,9948.920438289642
179,0.091,13287.668778181076
181,0.105,10263.065247297287
198,0.065,3424.346837043762
203,0.097,6415.483470439911
207,0.025,3957.3430507183075
215,0.121,17437.384351730347
228,0.043,4155.377936601639
235,0.119,10261.883731126785
242,0.081,13052.97019147873
250,0.053,10011.128809452057
254,0.051,10224.857661247253
255,0.101,6658.837320327759
279,0.103,13176.521716833115
281,0.103,12986.199068546295
291,0.101,6734.836112976074
298,0.093,7141.354534864426
321,0.085,13927.53000497818
327,0.083,10285.536560297012
330,0.077,13955.141590595245
341,0.103,15415.522275924683
356,0.053,6504.012673854828
361,0.097,7213.683816194534
392,0.073,6792.073202371597
405,0.093,9819.4039645195
425,0.065,3146.8630990982056
433,0.105,10547.69170999527
452,0.017,3889.6673169136047
459,0.075,10279.642927646637
479,0.087,3305.2475402355194
486,0.097,13200.292668104172
490,0.099,6467.3669600486755
495,0.081,9818.452258110046
509,0.069,6878.106163740158
540,0.041,10004.132408380508
546,0.119,9860.927718162537
549,0.101,6491.002412557602
557,0.119,13881.108844041824
561,0.049,5851.993619918823
574,0.053,13188.762771368027
581,0.097,9968.52989935875
613,0.079,9501.016105175018
629,0.107,9373.148673295975
643,0.061,12351.366295576096
645,0.101,12283.887675762177
659,0.067,7016.124961137772
675,0.113,15227.056378602982
695,0.103,10069.569184064865
715,0.109,6456.708160161972
731,0.085,5563.2737028598785
752,0.061,9138.70628452301
760,0.017,2285.2482953071594
767,0.119,9401.391941070557
789,0.097,9052.60083603859
808,0.045,9283.545632123947
811,0.093,6025.747350931168
840,0.121,12694.784675359726
843,0.065,9774.583477973938
856,0.065,8832.60426068306
857,0.055,13472.924883842468
861,0.075,9223.896441459656
867,0.107,12931.982404470444
874,0.115,10013.123239278793
875,0.075,12010.688467264175
878,0.085,5426.462510585785
890,0.075,12767.888167858124
895,0.013,158.3055293560028
909,0.083,9944.89689540863
953,0.079,6240.58079624176
966,0.007,401.08670473098755
975,0.125,12311.853652000427
983,0.087,10048.186767816544
992,0.121,13522.103503227234
998,0.065,3594.3758273124695
1007,0.069,9181.366004943848
1021,0.007,42.31770992279053
1035,0.045,6540.473476409912
1055,0.019,740.9862132072449
1068,0.101,5979.943825960159
1097,0.037,7681.50634264946
