image,Epsilon,runtime
13,0.051,36017.852028131485
18,0.013,3745.9298751354218
32,0.055,8812.499619960785
36,0.045,7078.885170221329
39,0.009,3205.9853489398956
62,0.013,3182.1597907543182
66,0.021,6961.070035457611
73,0.021,3931.0769159793854
83,0.027,7243.270225286484
90,0.097,6878.902311563492
93,0.011,7055.859073162079
106,0.025,6888.958576202393
126,0.075,10777.768592357635
129,0.023,10420.883297681808
147,0.075,11334.552037239075
151,0.099,16129.31848526001
155,0.045,15259.474077224731
165,0.069,13677.716017246246
186,0.065,5394.02419090271
204,0.047,9669.639009475708
218,0.051,10819.847788095474
221,0.101,77592.86118173599
238,0.041,17621.066267728806
241,0.061,8682.441460371017
261,0.091,12629.518456220627
274,0.021,10590.84621810913
286,0.081,15254.340460300446
299,0.069,68083.38571739197
302,0.035,12397.646600723267
311,0.117,32679.70026087761
323,0.099,21817.341048002243
331,0.033,8275.196831464767
367,0.107,13470.07339644432
388,0.013,6251.525874137878
395,0.093,23186.42537045479
401,0.015,14069.641644954681
421,0.103,16210.986647367477
430,0.047,14258.015779972076
431,0.081,13626.551214456558
449,0.097,19827.256980657578
465,0.077,10374.13660955429
488,0.027,10536.074182033539
498,0.059,10772.540806770325
506,0.037,10295.6901845932
534,0.065,8510.26332116127
536,0.027,25797.210996866226
565,0.027,14065.886501550674
578,0.021,10940.432642936707
592,0.049,25054.413414001465
598,0.051,17031.841977357864
607,,187.25652360916138
623,0.005,3715.5322437286377
630,0.007,3348.141425848007
649,0.051,10310.865418195724
658,0.073,9178.71020245552
660,0.031,14028.085692167282
672,0.013,3584.9766194820404
681,0.123,57668.97760415077
701,0.125,41475.91791033745
721,0.107,10896.884721279144
735,0.109,17191.858575344086
737,0.037,12078.36242556572
739,0.057,10695.0304210186
759,0.065,14351.591903924942
762,0.053,18822.02500104904
770,0.005,3286.748409509659
785,0.109,16493.13343143463
794,0.081,14382.950377702713
802,0.075,21614.739212036133
810,0.083,19285.166125535965
816,0.053,17145.564946889877
829,0.051,10570.653307676315
841,0.107,27977.486233472824
846,0.019,3310.4625775814056
852,0.033,12328.87967991829
881,0.099,24119.35683441162
901,0.081,12745.307425022125
910,0.027,11360.279391527176
922,0.007,7107.825726032257
939,0.011,3032.5536925792694
944,0.127,22455.916249513626
955,0.029,18581.468289136887
958,0.001,148.91343641281128
973,0.035,13696.907852649689
977,0.017,10295.21130657196
986,0.083,47176.73818087578
996,0.049,10923.000977277756
999,0.023,14129.695981740952
1020,0.053,13604.460321187973
1041,0.025,13821.012176513672
1091,0.039,17321.925016641617
1092,0.031,14284.813878059387
