epsilon,result,runtime
0.265,sat,18.40269446372986
0.133,sat,371.055566072464
0.131,sat,369.05184626579285
0.065,timeout,3600
0.063,timeout,3600
0.067,timeout,3600
0.061,timeout,3600
0.069,timeout,3600
0.059000000000000004,timeout,3600
0.07100000000000001,timeout,3600
0.057,timeout,3600
0.07300000000000001,timeout,3600
0.055,timeout,3600
0.053000000000000005,unsat,3272.171884059906
0.075,timeout,3600
0.10300000000000001,unsat,2958.3276646137238
0.101,cancelled,2705.523473739624
0.121,sat,663.4619789123535
0.113,sat,1080.2475979328156
0.111,timeout,3600
0.107,timeout,3600
0.10500000000000001,timeout,3600
0.109,timeout,3600
