,network,metric_1,metric_2,metric_3,metric_4,run
0,mnist-net,1,0.8231707811355591,0.0,0.012433797121047974,0
1,mnist-net,1,0.8247549533843994,0.0,0.01243676245212555,1
2,mnist-net,1,0.8230303525924683,0.0,0.012433797121047974,2
3,mnist-net,1,0.8261934518814087,0.0,0.01251199934631586,3
4,mnist-net,1,0.8272059559822083,0.0,0.012508290819823742,4
5,mnist-net,1,0.8240290880203247,0.0,0.012434161268174648,5
6,mnist-net,1,0.8288509845733643,0.0,0.01251199934631586,6
7,mnist-net,1,0.8296568989753723,0.0,0.012421985156834126,7
8,mnist-net,1,0.8288508653640747,0.0,0.01251236442476511,8
9,mnist-net,1,0.821733832359314,0.0,0.012433797121047974,9
10,mnist-net_256x2,1,0.8899756073951721,0.0,0.009161412715911865,0
11,mnist-net_256x2,1,0.8883374929428101,0.0,0.009232431650161743,1
12,mnist-net_256x2,1,0.8852868676185608,0.0,0.00916511844843626,2
13,mnist-net_256x2,1,0.8883375525474548,0.0,0.009232431650161743,3
14,mnist-net_256x2,1,0.8908188939094543,0.0,0.009161412715911865,4
15,mnist-net_256x2,1,0.8899755477905273,0.0,0.00917238462716341,5
16,mnist-net_256x2,1,0.8877806663513184,0.0,0.009094071574509144,6
17,mnist-net_256x2,1,0.8869779109954834,0.0,0.009232431650161743,7
18,mnist-net_256x2,1,0.8869779706001282,0.0,0.00916511844843626,8
19,mnist-net_256x2,1,0.888888955116272,0.0,0.009161412715911865,9
20,mnist-net_256x4,1,0.7681498527526855,0.0,0.02125944197177887,0
21,mnist-net_256x4,1,0.7764705419540405,0.0,0.021435070782899857,1
22,mnist-net_256x4,1,0.7723006010055542,0.0,0.02125944197177887,2
23,mnist-net_256x4,1,0.7746480107307434,0.0,0.021435070782899857,3
24,mnist-net_256x4,1,0.7746479511260986,0.0,0.021250195801258087,4
25,mnist-net_256x4,1,0.7704917788505554,0.0,0.021254142746329308,5
26,mnist-net_256x4,1,0.7710280418395996,0.0,0.02126566506922245,6
27,mnist-net_256x4,1,0.7686915397644043,0.0,0.021254142746329308,7
28,mnist-net_256x4,1,0.7715617418289185,0.0,0.021433699876070023,8
29,mnist-net_256x4,1,0.7681498527526855,0.0,0.021260801702737808,9
30,mnist-net_256x6,1,0.6999999284744263,0.0,0.006345320492982864,0
31,mnist-net_256x6,1,0.6799999475479126,0.0,0.006342153996229172,1
32,mnist-net_256x6,1,0.6999999284744263,0.0,0.006345534697175026,2
33,mnist-net_256x6,1,0.7142857313156128,0.0,0.006218625232577324,3
34,mnist-net_256x6,1,0.6938775181770325,0.0,0.006256826221942902,4
35,mnist-net_256x6,1,0.6799999475479126,0.0,0.0063431356102228165,5
36,mnist-net_256x6,1,0.6799999475479126,0.0,0.006343729794025421,6
37,mnist-net_256x6,1,0.6875,0.0,0.006257612258195877,7
38,mnist-net_256x6,1,0.6938775181770325,0.0,0.006218623369932175,8
39,mnist-net_256x6,1,0.6734693646430969,0.0,0.006260152906179428,9
40,mnist_nn,1,0.08264461904764175,0.002218441106379032,0.006754011381417513,0
41,mnist_nn,1,0.08196719735860825,0.0021845754235982895,0.006805931217968464,1
42,mnist_nn,1,0.08502023667097092,0.002253258600831032,0.006853205151855946,2
43,mnist_nn,1,0.08502023667097092,0.0021362509578466415,0.006849282421171665,3
44,mnist_nn,1,0.0905349850654602,0.00218997523188591,0.006783521268516779,4
45,mnist_nn,1,0.08230452984571457,0.00218997523188591,0.006783521268516779,5
46,mnist_nn,1,0.08163265138864517,0.002225171774625778,0.006740857847034931,6
47,mnist_nn,1,0.08606556057929993,0.002168998122215271,0.006797031499445438,7
48,mnist_nn,1,0.08230452984571457,0.0022102398797869682,0.006740856915712357,8
49,mnist_nn,1,0.08264461904764175,0.002215249463915825,0.0067810541950166225,9
50,mnist_relu_3_100,1,0.7717190384864807,0.0,0.020616300404071808,0
51,mnist_relu_3_100,1,0.7734805941581726,0.0,0.02047411911189556,1
52,mnist_relu_3_100,1,0.7727690935134888,0.0,0.02061566710472107,2
53,mnist_relu_3_100,1,0.7750000357627869,0.0,0.020625237375497818,3
54,mnist_relu_3_100,1,0.7740740776062012,0.0,0.02062159776687622,4
55,mnist_relu_3_100,1,0.770431637763977,0.0,0.020473498851060867,5
56,mnist_relu_3_100,1,0.7729378938674927,0.0,0.02061566710472107,6
57,mnist_relu_3_100,1,0.7744916677474976,0.0,0.020616305992007256,7
58,mnist_relu_3_100,1,0.7725162506103516,0.0,0.02047411911189556,8
59,mnist_relu_3_100,1,0.7726432681083679,0.0,0.02061566710472107,9
60,mnist_relu_3_50,1,0.17216117680072784,0.0033385250717401505,0.014017434790730476,0
61,mnist_relu_3_50,1,0.17037038505077362,0.0034179221838712692,0.014109650626778603,1
62,mnist_relu_3_50,1,0.17753620445728302,0.0033925212919712067,0.01413622684776783,2
63,mnist_relu_3_50,1,0.1794871836900711,0.003392523154616356,0.01413622684776783,3
64,mnist_relu_3_50,1,0.17518247663974762,0.0033581387251615524,0.014109650626778603,4
65,mnist_relu_3_50,1,0.17407408356666565,0.003477713093161583,0.014109650626778603,5
66,mnist_relu_3_50,1,0.17343175411224365,0.003392523154616356,0.014017434790730476,6
67,mnist_relu_3_50,1,0.17582418024539948,0.0031379684805870056,0.01413622684776783,7
68,mnist_relu_3_50,1,0.1709091067314148,0.0033281762152910233,0.014017434790730476,8
69,mnist_relu_3_50,1,0.17391301691532135,0.0033385250717401505,0.014017434790730476,9
70,mnist_relu_4_1024,1,0.0037878789007663727,0.01045081578195095,0.020429441705346107,0
71,mnist_relu_4_1024,1,0.0037878789007663727,0.010367469862103462,0.020432032644748688,1
72,mnist_relu_4_1024,1,0.0037878789007663727,0.010444210842251778,0.020430760458111763,2
73,mnist_relu_4_1024,1,0.003759398590773344,0.010524949058890343,0.02042880840599537,3
74,mnist_relu_4_1024,1,0.0037735849618911743,0.01045023463666439,0.020430760458111763,4
75,mnist_relu_4_1024,1,0.00374531839042902,0.010348783805966377,0.02043139934539795,5
76,mnist_relu_4_1024,1,0.0037735849618911743,0.010448997840285301,0.02042943798005581,6
77,mnist_relu_4_1024,1,0.0037735849618911743,0.010454317554831505,0.020436329767107964,7
78,mnist_relu_4_1024,1,0.0037878789007663727,0.01035262830555439,0.02042943798005581,8
79,mnist_relu_4_1024,1,0.003759398590773344,0.01035262830555439,0.02042943798005581,9
80,mnist_relu_6_100,1,0.06874999403953552,0.0068695079535245895,0.02252870239317417,0
81,mnist_relu_6_100,1,0.06874999403953552,0.007024513557553291,0.022517817094922066,1
82,mnist_relu_6_100,1,0.06930692493915558,0.007134800776839256,0.022547222673892975,2
83,mnist_relu_6_100,1,0.06896550953388214,0.007118700072169304,0.022541368380188942,3
84,mnist_relu_6_100,1,0.06965174525976181,0.007032735273241997,0.022547222673892975,4
85,mnist_relu_6_100,1,0.06947891414165497,0.0070860739797353745,0.022552262991666794,5
86,mnist_relu_6_100,1,0.06840796768665314,0.0073767658323049545,0.022523673251271248,6
87,mnist_relu_6_100,1,0.06857854872941971,0.007475866004824638,0.022552262991666794,7
88,mnist_relu_6_100,1,0.06699752062559128,0.0070444922894239426,0.022541368380188942,8
89,mnist_relu_6_100,1,0.06922126561403275,0.006872503086924553,0.022523673251271248,9
90,mnist_relu_6_200,1,0.27989819645881653,0.003080427646636963,0.0219592098146677,0
91,mnist_relu_6_200,1,0.280303031206131,0.003160424530506134,0.0219592098146677,1
92,mnist_relu_6_200,1,0.2806122601032257,0.002916194498538971,0.021969730034470558,2
93,mnist_relu_6_200,1,0.2748091518878937,0.0030016787350177765,0.0219592098146677,3
94,mnist_relu_6_200,1,0.2817258834838867,0.003080427646636963,0.0219592098146677,4
95,mnist_relu_6_200,1,0.2860824465751648,0.003069460391998291,0.021918822079896927,5
96,mnist_relu_6_200,1,0.28423774242401123,0.003173965960741043,0.021918822079896927,6
97,mnist_relu_6_200,1,0.28244274854660034,0.0030815154314041138,0.021959936246275902,7
98,mnist_relu_6_200,1,0.27848097681999207,0.003214806318283081,0.02196405455470085,8
99,mnist_relu_6_200,1,0.277777761220932,0.0029904283583164215,0.0219592098146677,9
